"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C2, C35, C36";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";4;"22pF";;;
2;"C4, C6, C11, C12, C13, C23, C27, C38";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";8;"100nF";;;
3;"C14, C24, C37";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";3;"10nF";;;
4;"C15, C25";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";2;"68uF";;;
5;"C16, C17";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";2;"12.5pF";;;
6;"C26, C28";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";2;"47nF";;;
7;"D1, D2";"D_SOD-523";2;"3.3A";;;
8;"J1, J8, J10, J11, J12, J13, J14, J15";"PinHeader_1x02_P2.54mm_Vertical";8;"Conn_01x02_Pin";;;
9;"J2, J3, J4";"PinHeader_1x06_P2.54mm_Vertical";3;"Conn_01x06_Pin";;;
10;"J5";"USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal";1;"USB_C_Receptacle_USB2.0_14P";;;
11;"J6";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05_Pin";;;
12;"J7";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_Pin";;;
13;"J9";"PinHeader_1x01_P2.54mm_Vertical";1;"Conn_01x01_Pin";;;
14;"L2, L5";"L_01005_0402Metric_Pad0.57x0.30mm_HandSolder";2;"47uH";;;
15;"Q1, Q2";"SOT-23";2;"BSS138";;;
16;"R2";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"10k";;;
17;"R3";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"4.7K";;;
18;"R4";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"4.7k";;;
19;"R5, R6";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"5.1k";;;
20;"R7";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"0.1";;;
21;"U1";"TQFP-32_7x7mm_P0.8mm";1;"ATmega328P-A";;;
22;"U2";"IC_BNO085";1;"BNO085";;;
23;"U3";"SOT-23-8";1;"INA219AxDCN";;;
24;"U4";"SOIC-8_3.9x4.9mm_P1.27mm";1;"LM2675M-5";;;
25;"U12";"SOIC-16_3.9x9.9mm_P1.27mm";1;"CH340G";;;
26;"U13";"SOT-23-6";1;"USBLC6-2SC6";;;
27;"U14";"SOIC-8_3.9x4.9mm_P1.27mm";1;"LM2675M-3.3";;;
28;"Y1";"Crystal_DS10_D1.0mm_L4.3mm_Horizontal";1;"16Mhz";;;
29;"Y3";"Crystal_DS10_D1.0mm_L4.3mm_Horizontal";1;"32Mhz";;;
30;"Y5";"Crystal_DS10_D1.0mm_L4.3mm_Horizontal";1;"12Mhz";;;
